YEAR,MM,DD,tmed,tmax,tmin,Ra,Rain
1991,1,6,23.5,29.4,17.6,42.48,0
1991,1,7,25.2,31,19.4,42.45,0
1991,1,8,25.7,32.2,19.2,42.42,0
1991,1,9,26.4,32.2,20.6,42.39,0
1991,1,10,24.3,28.8,19.8,42.34,0
1991,1,11,21.9,23.6,20.2,42.3,12.6
1991,1,12,23.1,26,20.2,42.25,48.8
1991,1,13,24.3,31.2,17.4,42.21,0
1991,1,14,24.9,27.6,22.2,42.17,0
1991,1,15,24.4,27.6,21.2,42.12,41.4
1991,1,16,23.9,28,19.8,42.08,61.8
1991,1,17,23.4,25.8,21,42.05,0.4
1991,1,18,22.6,27.4,17.8,42.02,0
1991,1,19,23.7,29.2,18.2,41.98,0
1991,1,20,24.8,30.6,19,41.95,0
1991,1,21,25.4,31.6,19.2,41.9,0
1991,1,22,26.7,32.6,20.8,41.84,0
1991,1,23,27,32.6,21.4,41.77,0.3
1991,1,24,25.5,30.8,20.2,41.7,0
1991,1,25,24.4,27.8,21,41.64,0
1991,1,26,21.5,22.8,20.2,41.56,40.6
1991,1,27,20,22.6,17.4,41.48,65.8
1991,1,28,23.4,28.4,18.4,41.4,69.8
1991,1,29,23.9,29.2,18.6,41.32,20.4
1991,1,30,23.6,28.8,18.4,41.24,17.8
1991,1,31,24,27.8,20.2,41.17,0.2
1991,2,1,23.6,26.6,20.6,41.1,4.2
1991,2,2,24.4,28.6,20.2,41.05,4
1991,2,3,25,29.6,20.4,40.98,0
1991,2,4,25.6,31.4,19.8,40.91,0
1991,2,5,24.7,30.4,19,40.83,5.8
1991,2,6,24.1,30,18.2,40.76,71
1991,2,7,24.2,29,19.4,40.66,52.8
1991,2,8,22.6,25,20.2,40.56,21.2
1991,2,9,24,28,20,40.45,22.4
1991,2,10,24.2,27.8,20.6,40.35,29
1991,2,11,24.1,28.4,19.8,40.24,0.6
1991,2,12,24.7,29.2,20.2,40.16,0
1991,2,13,24.4,28.8,20,40.05,1
1991,2,14,24.4,30.4,18.4,39.95,0
1991,2,15,24.7,28.8,20.6,39.84,0
1991,2,16,24.7,28.6,20.8,39.74,0
1991,2,17,25.2,30.6,19.8,39.61,0
1991,2,18,22.7,26.2,19.2,39.49,0.4
1991,2,19,23.6,29,18.2,39.36,28.2
1991,2,20,23,29,17,39.23,0
1991,2,21,24.8,31.6,18,39.1,0
1991,2,22,25.2,31,19.4,38.96,0
1991,2,23,23.8,28.8,18.8,38.83,0
1991,2,24,21.5,26.8,16.2,38.7,0
1991,2,25,23,29.8,16.2,38.58,0
1991,2,26,24.1,30.4,17.8,38.45,0
1991,2,27,24.4,30.8,18,38.32,1.9
1991,2,28,25.5,31,20,38.19,0
1991,3,1,24.2,29.4,19,38.05,1
1991,3,2,22.9,26.4,19.4,37.91,47.4
1991,3,3,24.8,28.6,21,37.77,2.2
1991,3,4,22.1,25,19.2,37.62,9.8
1991,3,5,22.6,25,20.2,37.47,0.2
1991,3,6,23.2,25,21.4,37.32,15.8
1991,3,7,22.9,26.4,19.4,37.17,21.4
1991,3,8,24.9,29.6,20.2,37,0
1991,3,9,25.4,31.2,19.6,36.83,0
1991,3,10,25.2,31,19.4,36.66,0
1991,3,11,25.6,31.4,19.8,36.5,0
1991,3,12,24.1,30.2,18,36.34,1.8
1991,3,13,25,30,20,36.18,3.2
1991,3,14,24.6,28.8,20.4,36.01,16
1991,3,15,22.7,26.8,18.6,35.85,0
1991,3,16,22.5,27.6,17.4,35.68,0
1991,3,17,23,28.6,17.4,35.52,0
1991,3,18,24.2,29.8,18.6,35.34,0
1991,3,19,24.1,26.6,21.6,35.16,0
1991,3,20,24.3,28.8,19.8,34.97,14.6
1991,3,21,25.5,30.2,20.8,34.79,0
1991,3,22,23.6,26.8,20.4,34.6,67
1991,3,23,23.1,27.2,19,34.41,0
1991,3,24,23,26.6,19.4,34.22,0
1991,3,25,23.6,27.2,20,34.05,0
1991,3,26,20.7,21.6,19.8,33.88,10
1991,3,27,17.9,18.8,17,33.7,9.8
1991,3,28,17.7,18.8,16.6,33.54,54.6
1991,3,29,18.3,19.8,16.8,33.37,37
1991,3,30,19.4,21.4,17.4,33.19,23.4
1991,3,31,22.5,26.4,18.6,33,12.6
1991,4,1,24,28.6,19.4,32.81,6.8
1991,4,2,23.5,27.8,19.2,32.62,0
1991,4,3,22.9,28.4,17.4,32.43,0
1991,4,4,23.7,28.6,18.8,32.25,0
1991,4,5,20.1,23.6,16.6,32.07,0
1991,4,6,21.2,27.4,15,31.89,0
1991,4,7,22.4,29,15.8,31.72,0
1991,4,8,23.5,27.8,19.2,31.53,1.6
1991,4,9,24.2,29.6,18.8,31.34,0
1991,4,10,24,29.8,18.2,31.16,0
1991,4,11,24.8,30.6,19,30.97,0
1991,4,12,25,30.4,19.6,30.78,0
1991,4,13,21.7,23.4,20,30.59,0
1991,4,14,23.6,28.8,18.4,30.4,12.8
1991,4,15,25.5,30.8,20.2,30.21,0
1991,4,16,24.3,29,19.6,30.02,16
1991,4,17,24.2,29.6,18.8,29.83,18.8
1991,4,18,23.5,27.6,19.4,29.66,0
1991,4,19,21,22.2,19.8,29.48,1
1991,4,20,18.6,21,16.2,29.3,2.8
1991,4,21,19.9,24.6,15.2,29.13,0
1991,4,22,20.8,26.4,15.2,28.94,0
1991,4,23,20.3,26.6,14,28.76,0
1991,4,24,20.6,27.4,13.8,28.58,0
1991,4,25,18.7,21,16.4,28.41,42
1991,4,26,19.9,22.4,17.4,28.23,24.4
1991,4,27,19.6,23.6,15.6,28.05,9
1991,4,28,18.9,24.6,13.2,27.88,0
1991,4,29,18.9,24.6,13.2,27.71,0
1991,4,30,20,25,15,27.54,0
1991,5,1,21.3,27,15.6,27.37,0
1991,5,2,21.1,27.4,14.8,27.22,0
1991,5,3,21.5,27.2,15.8,27.06,0
1991,5,4,20.3,26.6,14,26.9,0
1991,5,5,20.4,27.6,13.2,26.73,0
1991,5,6,20.7,22.6,18.8,26.56,0
1991,5,7,19.3,22.6,16,26.4,0.2
1991,5,8,19.2,22.4,16,26.24,18
1991,5,9,17.8,24.2,11.4,26.09,0
1991,5,10,19.7,25.4,14,25.95,0
1991,5,11,19.9,25.2,14.6,25.81,0
1991,5,12,20.1,25,15.2,25.66,0
1991,5,13,19.7,25,14.4,25.52,0
1991,5,14,20.9,25.4,16.4,25.39,0
1991,5,15,18.1,20,16.2,25.25,14
1991,5,16,19.5,23,16,25.13,8.8
1991,5,17,19.3,24.6,14,25,0
1991,5,18,21.4,26.8,16,24.87,0
1991,5,19,21.4,27.2,15.6,24.75,0
1991,5,20,21.9,27.4,16.4,24.63,0
1991,5,21,19.6,25.8,13.4,24.51,55
1991,5,22,21.4,27.6,15.2,24.4,0
1991,5,23,19.8,23.6,16,24.29,0.2
1991,5,24,19.9,25.4,14.4,24.17,0
1991,5,25,19,25.8,12.2,24.06,0
1991,5,26,21.8,28.2,15.4,23.95,0
1991,5,27,21.2,27.2,15.2,23.86,0
