YEAR,MM,DD,tmed,tmax,tmin,Ra,Rs,W,RH,Rain
1991,1,1,21.58,28.01,15.8,42.56,26.06,2.34,66.31,3.25
1991,1,2,23.73,31.93,16.36,42.54,24.99,2.05,63.94,3.41
1991,1,3,21.62,24.88,18.41,42.53,14.69,2.24,84.44,19.55
1991,1,4,20.65,25.37,16.66,42.51,12.42,1.96,85.06,11.9
1991,1,5,20.36,25.97,16.78,42.49,25.78,3.55,79.56,1.14
1991,1,6,20.91,28.51,15.9,42.48,27.52,3.8,77.19,0.24
1991,1,7,22.15,30.11,16.49,42.45,26.2,3.1,73.38,0.2
1991,1,8,22.98,31.12,17.62,42.42,24.43,3.02,75.06,0.41
1991,1,9,23.92,31.02,19.43,42.39,24.23,2.52,75.06,4.66
1991,1,10,23.15,27.81,19.4,42.34,21.13,2.71,81.94,10
1991,1,11,22.91,27.22,18.73,42.3,14.16,2.52,88.12,26.47
1991,1,12,21.33,27.78,16.76,42.25,20.21,2.5,79.25,7.76
1991,1,13,22.28,28.37,16.38,42.21,27.16,1.56,76.38,1.7
1991,1,14,24.3,29.19,19.97,42.17,11.02,1.74,81,22.32
1991,1,15,24.26,28.41,19.65,42.12,13.9,1.61,83.38,44.82
1991,1,16,23.92,29.85,19.98,42.08,16.42,1.91,83.69,5.78
1991,1,17,21.19,27.15,16.62,42.05,22.65,3.47,80.75,3.32
1991,1,18,20.11,26.27,15.87,42.02,28.49,4.32,79.62,0.63
1991,1,19,21.55,28.48,16.72,41.98,23.2,2.54,78.12,0.32
1991,1,20,22.61,29.67,16.38,41.95,22.33,2.02,76.19,1.06
1991,1,21,24.3,30.93,17.08,41.9,27.72,1.5,73.62,0.87
1991,1,22,24.88,30.64,19.07,41.84,30.76,1.45,76.94,6.59
1991,1,23,24.23,30.37,19.7,41.77,26.97,2.19,78.19,1.31
1991,1,24,22.52,29.12,17.84,41.7,31.11,3.11,80,1.77
1991,1,25,23.36,30.72,18.47,41.64,15.77,1.88,78.81,13.54
1991,1,26,21.28,23.37,19.58,41.56,11.89,2.64,88,29.3
1991,1,27,20.84,25.44,17.33,41.48,14.47,3.22,91.56,54.45
1991,1,28,22.61,28.4,17.57,41.4,21.3,1.32,82.06,4.52
1991,1,29,23.19,27.63,19.86,41.32,22.57,1.49,86.06,5.13
1991,1,30,22.67,25.61,20.4,41.24,18.51,2.85,88.38,3.02
1991,1,31,23.12,27.81,19.41,41.17,16.94,2.82,84.38,4.3
1991,2,1,22.75,26.64,20.1,41.1,12.93,1.45,89.19,19.53
1991,2,2,22.34,26.26,19.86,41.05,12.42,1.32,85.31,11.17
1991,2,3,21.98,26.32,19.42,40.98,17.44,1.45,85.69,8.91
1991,2,4,22.73,28.06,18.03,40.91,21.06,1.49,82.31,11.79
1991,2,5,22.47,27.98,17.83,40.83,15.05,1.68,82.88,15.11
1991,2,6,22.65,27.41,18.98,40.76,21.17,1.4,83.62,16.95
1991,2,7,21.75,25.98,18.48,40.66,17.31,1.43,84.31,14.86
1991,2,8,21.68,26.19,18.39,40.56,14.45,2.34,88.81,21.37
1991,2,9,22.45,26.49,19.12,40.45,14.96,2.36,89.75,29.6
1991,2,10,22.1,25.09,20.08,40.35,18.42,2.06,92,5.2
1991,2,11,22.32,26.06,18.97,40.24,19.03,1.52,85.56,11.31
1991,2,12,22.65,27.43,17.25,40.16,22.81,1.8,85.44,6.66
1991,2,13,23.01,28.12,19.04,40.05,17.85,2.09,83.75,0.57
1991,2,14,22.71,29.33,17.48,39.95,24.16,2.04,78.88,0.67
1991,2,15,22.69,28.58,18.23,39.84,19.21,2.05,82.38,1.47
1991,2,16,21.91,28.01,18.44,39.74,17.99,2.41,84.12,1.66
1991,2,17,20.84,26.26,17.85,39.61,20.87,2.38,87.19,7.2
1991,2,18,22.51,28.44,17.12,39.49,13.81,2.13,85.06,24.28
1991,2,19,22.04,27.58,18.03,39.36,21.88,2.34,82.81,1.46
1991,2,20,21.05,27.16,17.07,39.23,28.36,3.16,81.19,0.02
1991,2,21,21.94,28.77,16.66,39.1,26.08,2.42,80.62,0.27
1991,2,22,23.76,29.48,17.64,38.96,23.9,1.89,80.31,0.48
1991,2,23,21.65,27.58,14.94,38.83,19.47,3.08,81.12,0.58
1991,2,24,17.94,24.57,13.31,38.7,28.57,3.65,77.88,0.17
1991,2,25,19.09,27.41,12.44,38.58,25.34,2.86,77.94,0.08
1991,2,26,21.1,26.76,15.27,38.45,19.53,1.89,81.5,1.79
1991,2,27,22.2,28.04,17.07,38.32,20.87,2.06,81.38,2.55
1991,2,28,21.72,26.87,16.8,38.19,19.27,2.46,83.19,7.31
1991,3,1,22.5,27.11,17.39,38.05,17.56,1.74,78.62,16.66
1991,3,2,20.69,23.88,18.54,37.91,11.34,1.48,87.5,7.09
1991,3,3,20.5,23.87,17.62,37.77,16.17,1.91,90.06,13.96
1991,3,4,20.84,24.75,17.84,37.62,13.44,2.21,86.69,10.02
1991,3,5,20.29,22.82,18.15,37.47,8.62,2.35,88.44,20.08
1991,3,6,20.44,24.01,18.26,37.32,13.58,2.56,90.44,23.9
1991,3,7,21.49,26.15,18.09,37.17,13.31,1.52,84.5,8.03
1991,3,8,22.18,27.61,17.98,37,11.41,1.39,83.88,4.18
1991,3,9,22.55,27.9,18.31,36.83,22.36,1.47,82.38,3.38
1991,3,10,22.72,27.76,17.66,36.66,24.05,1.16,81.69,2.48
1991,3,11,22.73,27.73,18.08,36.5,22.13,1.05,83.38,11.76
1991,3,12,23.22,28.21,19.03,36.34,19.76,0.89,82.88,5.49
1991,3,13,22.52,26.84,18.31,36.18,19.77,1.82,87.94,15.97
1991,3,14,21.92,27.16,18.51,36.01,17.33,2.18,86.88,3.76
1991,3,15,20.03,25.21,15.8,35.85,21.5,3.75,84.06,0.35
1991,3,16,18.91,24.87,14.51,35.68,23.56,3.42,81.81,0.05
1991,3,17,20.51,27.28,14.72,35.52,19.89,1.94,80.56,0.19
1991,3,18,22.01,27.98,15.68,35.34,17.68,1.45,80.06,7.18
1991,3,19,23.3,28.63,18.6,35.16,15.57,1.27,82.81,18.87
